FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE
FCTLOG,9977;20217241-0023;0722;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 16:03:55,58.7565745,,FCT1,
FCTLOG,9977;20224854-0001;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 21:54:12,50.6551158,,FCT1,
FCTLOG,9977;20224854-0020;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:07:50,50.0668013,,FCT1,
FCTLOG,9977;20224854-0024;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:10:07,62.9395513,,FCT1,
FCTLOG,9977;20224854-0023;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:11:43,49.4907514,,FCT1,
FCTLOG,9977;20224854-0022;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:13:08,49.8505651,,FCT1,
FCTLOG,9977;20224854-0021;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:14:54,51.5549431,,FCT1,
FCTLOG,9977;20224854-0019;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:17:10,51.7764981,,FCT1,
FCTLOG,9977;20224854-0018;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:19:30,66.2927018,,FCT1,
FCTLOG,9977;20224854-0114;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:21:27,48.4131963,,FCT1,
FCTLOG,9977;20224854-0107;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:24:04,70.8674125,,FCT1,
FCTLOG,9977;20224854-0109;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:26:32,104.4188955,,FCT1,
FCTLOG,9977;20224854-0112;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:27:42,49.473485,,FCT1,
FCTLOG,9977;20224854-0118;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:29:12,55.0509311,,FCT1,
FCTLOG,9977;20224854-0108;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:30:51,51.0400887,,FCT1,
FCTLOG,9977;20224854-0116;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:32:39,58.845546,,FCT1,
FCTLOG,9977;20224854-0101;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:34:37,55.1002003,,FCT1,
FCTLOG,9977;20224854-0111;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:36:09,51.9435403,,FCT1,
FCTLOG,9977;20224854-0102;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:37:30,51.2628506,,FCT1,
FCTLOG,9977;20224854-0106;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:39:02,74.0846797,,FCT1,
FCTLOG,9977;20224854-0105;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:40:09,49.1391389,,FCT1,
FCTLOG,9977;20224854-0104;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:41:27,55.569447,,FCT1,
FCTLOG,9977;20224854-0103;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:42:45,49.3031756,,FCT1,
FCTLOG,9977;20224854-0110;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:44:13,51.0750408,,FCT1,
FCTLOG,9977;20224854-0117;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:45:26,49.0690587,,FCT1,
FCTLOG,9977;20224854-0115;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:46:41,49.5755888,,FCT1,
FCTLOG,9977;20224854-0113;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:48:07,55.52639,,FCT1,
FCTLOG,9977;20224854-0095;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:49:29,52.8366199,,FCT1,
FCTLOG,9977;20224854-0096;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:50:54,60.2535179,,FCT1,
FCTLOG,9977;20224854-0099;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:52:19,51.274322,,FCT1,
FCTLOG,9977;20224854-0100;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:54:15,49.2302976,,FCT1,
FCTLOG,9977;20224854-0097;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:55:52,49.0238929,,FCT1,
FCTLOG,9977;20224854-0098;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:57:09,49.725549,,FCT1,
FCTLOG,9977;20224854-0087;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:58:31,49.4004463,,FCT1,
FCTLOG,9977;20224854-0089;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 22:59:59,60.7203449,,FCT1,
FCTLOG,9977;20224854-0085;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:02:17,56.574177,,FCT1,
FCTLOG,9977;20224854-0084;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:03:38,48.9772497,,FCT1,
FCTLOG,9977;20224854-0086;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:05:04,55.0023125,,FCT1,
FCTLOG,9977;20224854-0088;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:06:18,49.2153462,,FCT1,
FCTLOG,9977;20224854-0093;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:17:36,77.1937125,,FCT1,
FCTLOG,9977;20224854-0092;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:19:12,70.0301222,,FCT1,
FCTLOG,9977;20224854-0094;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:23:15,51.7699365,,FCT1,
FCTLOG,9977;20224854-0091;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:24:25,48.2725064,,FCT1,
FCTLOG,9977;20224854-0090;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:25:59,74.4670323,,FCT1,
FCTLOG,9977;20224854-0124;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:27:20,60.7001701,,FCT1,
FCTLOG,9977;20224854-0123;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:28:37,61.1259874,,FCT1,
FCTLOG,9977;20224854-0119;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:30:01,67.8892346,,FCT1,
FCTLOG,9977;20224854-0122;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:31:28,71.8365519,,FCT1,
FCTLOG,9977;20224854-0081;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:32:44,61.5874617,,FCT1,
FCTLOG,9977;20224854-0082;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:33:59,61.5730821,,FCT1,
FCTLOG,9977;20224854-0121;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:35:26,57.5471683,,FCT1,
FCTLOG,9977;20224854-0080;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:37:06,87.8924024,,FCT1,
FCTLOG,9977;20224854-0120;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:38:24,63.512412,,FCT1,
FCTLOG,9977;20224854-0079;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:39:37,58.288969,,FCT1,
FCTLOG,9977;20224854-0049;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:40:48,57.5884619,,FCT1,
FCTLOG,9977;20224854-0061;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:44:30,61.0099959,,FCT1,
FCTLOG,9977;20224854-0059;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:45:33,49.3813916,,FCT1,
FCTLOG,9977;20224854-0055;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:46:45,59.4513265,,FCT1,
FCTLOG,9977;20224854-0050;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:48:00,59.476814,,FCT1,
FCTLOG,9977;20224854-0041;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:49:14,59.4434584,,FCT1,
FCTLOG,9977;20224854-0056;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:50:32,57.8257018,,FCT1,
FCTLOG,9977;20224854-0048;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:51:32,48.2825887,,FCT1,
FCTLOG,9977;20224854-0083;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:52:45,63.4267439,,FCT1,
FCTLOG,9977;20224854-0144;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:53:58,58.0719599,,FCT1,
FCTLOG,9977;20224854-0145;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:55:20,48.333886,,FCT1,
FCTLOG,9977;20224854-0159;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:56:29,56.7130141,,FCT1,
FCTLOG,9977;20224854-0157;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:57:40,58.3014122,,FCT1,
FCTLOG,9977;20224854-0160;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,19/08/2022 23:58:43,49.4898931,,FCT1,
FCTLOG,9977;20224854-0139;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:00:02,64.4616876,,FCT1,
FCTLOG,9977;20224854-0155;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:01:03,49.3741718,,FCT1,
FCTLOG,9977;20224854-0140;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:02:13,56.6333546,,FCT1,
FCTLOG,9977;20224854-0146;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:03:26,58.7891049,,FCT1,
FCTLOG,9977;20224854-0153;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:04:36,57.2307204,,FCT1,
FCTLOG,9977;20224854-0156;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:05:48,48.3040678,,FCT1,
FCTLOG,9977;20224854-0077;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:07:04,64.3464695,,FCT1,
FCTLOG,9977;20224854-0161;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:08:13,56.9427259,,FCT1,
FCTLOG,9977;20224854-0158;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:09:17,52.9220523,,FCT1,
FCTLOG,9977;20224854-0141;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:10:26,57.8858067,,FCT1,
FCTLOG,9977;20224854-0132;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:11:26,49.2639125,,FCT1,
FCTLOG,9977;20224854-0143;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:12:38,57.1564092,,FCT1,
FCTLOG,9977;20224854-0138;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:13:45,55.7006752,,FCT1,
FCTLOG,9977;20224854-0135;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:14:55,55.3865744,,FCT1,
FCTLOG,9977;20224854-0142;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:16:01,54.1157433,,FCT1,
FCTLOG,9977;20224854-0154;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:17:25,51.9073098,,FCT1,
FCTLOG,9977;20224854-0136;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:18:32,48.1202947,,FCT1,
FCTLOG,9977;20224854-0137;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:19:55,52.5495201,,FCT1,
FCTLOG,9977;20224854-0152;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:21:52,52.564425,,FCT1,
FCTLOG,9977;20224854-0134;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:24:49,105.8715272,,FCT1,
FCTLOG,9977;20224854-0131;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:26:35,48.7210186,,FCT1,
FCTLOG,9977;20224854-0076;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:28:01,48.9625812,,FCT1,
FCTLOG,9977;20224854-0074;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:29:17,49.091035,,FCT1,
FCTLOG,9977;20224854-0073;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:30:22,51.0527778,,FCT1,
FCTLOG,9977;20224854-0151;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:39:32,54.5233718,,FCT1,
FCTLOG,9977;20224854-0162;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:40:50,57.0969122,,FCT1,
FCTLOG,9977;20224854-0147;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:42:06,48.1263479,,FCT1,
FCTLOG,9977;20224854-0164;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:43:18,56.014759,,FCT1,
FCTLOG,9977;20224854-0067;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:44:37,49.2566142,,FCT1,
FCTLOG,9977;20224854-0173;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:46:17,51.877383,,FCT1,
FCTLOG,9977;20224854-0167;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:47:32,58.5425488,,FCT1,
FCTLOG,9977;20224854-0182;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:49:03,60.3420553,,FCT1,
FCTLOG,9977;20224854-0174;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 00:51:05,98.7056082,,FCT1,
FCTLOG,9977;20224854-0175;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:01:22,49.5204846,,FCT1,
FCTLOG,9977;20224854-0176;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:02:40,50.1264289,,FCT1,
FCTLOG,9977;20224854-0166;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:03:48,51.6240571,,FCT1,
FCTLOG,9977;20224854-0172;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:05:08,50.7973569,,FCT1,
FCTLOG,9977;20224854-0171;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:06:23,52.6704987,,FCT1,
FCTLOG,9977;20224854-0170;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:07:29,51.8662212,,FCT1,
FCTLOG,9977;20224854-0169;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:08:51,50.1650505,,FCT1,
FCTLOG,9977;20224854-0168;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:10:00,49.0903945,,FCT1,
FCTLOG,9977;20224854-0188;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:11:37,53.443745,,FCT1,
FCTLOG,9977;20224854-0187;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:12:43,48.7153889,,FCT1,
FCTLOG,9977;20224854-0068;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:13:45,48.1130871,,FCT1,
FCTLOG,9977;20224854-0177;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:14:51,48.3346727,,FCT1,
FCTLOG,9977;20224854-0178;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:15:55,48.1327889,,FCT1,
FCTLOG,9977;20224854-0193;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:17:28,60.5299392,,FCT1,
FCTLOG,9977;20224854-0069;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:18:33,52.023511,,FCT1,
FCTLOG,9977;20224854-0070;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:20:07,54.2929544,,FCT1,
FCTLOG,9977;20224854-0066;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:21:19,50.6096913,,FCT1,
FCTLOG,9977;20224854-0065;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:22:39,50.1051266,,FCT1,
FCTLOG,9977;20224854-0189;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:23:43,50.4880851,,FCT1,
FCTLOG,9977;20224854-0191;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:25:02,48.4855427,,FCT1,
FCTLOG,9977;20224854-0192;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:26:17,48.8140407,,FCT1,
FCTLOG,9977;20224854-0075;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:27:20,48.8989448,,FCT1,
FCTLOG,9977;20224854-0071;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:28:28,48.7064375,,FCT1,
FCTLOG,9977;20224854-0148;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:30:23,48.9535087,,FCT1,
FCTLOG,9977;20224854-0150;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:31:25,48.8342595,,FCT1,
FCTLOG,9977;20224854-0133;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:34:05,49.3369285,,FCT1,
FCTLOG,9977;20224854-0149;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:36:21,51.1640659,,FCT1,
FCTLOG,9977;20224854-0180;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:37:31,50.0189099,,FCT1,
FCTLOG,9977;20224854-0179;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:38:34,49.0521805,,FCT1,
FCTLOG,9977;20224854-0165;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:39:59,49.1705945,,FCT1,
FCTLOG,9977;20224854-0163;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:41:07,49.6456813,,FCT1,
FCTLOG,9977;20224854-0194;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:43:11,50.3548777,,FCT1,
FCTLOG,9977;20224854-0072;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:44:43,51.0592024,,FCT1,
FCTLOG,9977;20224854-0186;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:45:45,48.7818224,,FCT1,
FCTLOG,9977;20224854-0181;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:49:53,48.9865277,,FCT1,
FCTLOG,9977;20224854-0190;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:50:58,48.6525184,,FCT1,
FCTLOG,9977;20224854-0183;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:52:37,48.8249869,,FCT1,
FCTLOG,9977;20224854-0184;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:53:43,49.0576943,,FCT1,
FCTLOG,9977;20224854-0284;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:54:58,49.8325924,,FCT1,
FCTLOG,9977;20224854-0288;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:56:20,48.7325023,,FCT1,
FCTLOG,9977;20224854-0185;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:57:22,50.3819135,,FCT1,
FCTLOG,9977;20224854-0282;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:58:36,48.6919665,,FCT1,
FCTLOG,9977;20224854-0278;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 01:59:57,48.7520811,,FCT1,
FCTLOG,9977;20224854-0280;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:01:08,49.28307,,FCT1,
FCTLOG,9977;20224854-0281;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:02:08,48.2151746,,FCT1,
FCTLOG,9977;20224854-0275;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:03:12,48.1056255,,FCT1,
FCTLOG,9977;20224854-0283;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:04:16,47.9987247,,FCT1,
FCTLOG,9977;20224854-0279;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:05:15,48.2622405,,FCT1,
FCTLOG,9977;20224854-0276;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:06:17,48.1710792,,FCT1,
FCTLOG,9977;20224854-0289;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:07:16,48.4028063,,FCT1,
FCTLOG,9977;20224854-0274;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:08:15,48.0859813,,FCT1,
FCTLOG,9977;20224854-0286;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:09:15,48.2691417,,FCT1,
FCTLOG,9977;20224854-0285;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:10:15,48.2139613,,FCT1,
FCTLOG,9977;20224854-0277;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:11:14,48.2476249,,FCT1,
FCTLOG,9977;20224854-0273;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:12:14,48.27837,,FCT1,
FCTLOG,9977;20224854-0287;3322;10MLA27CDMOT01-B-2,LNK,,LNK908-221376LF,Passed,,20/08/2022 02:13:49,48.3837823,,FCT1,
