FCTLOG,Serial Number,CUSTOMER,TIME_DATE,PROJECT,RESULT,TEXT1,TEXT2,TEXT3,TEXT4,OPNAME,CDATE,CRITERIA,TESTDURATION,FIXTURE_ID,OPERATOR,WORKORDER,SYMPTOM
FCTLOG,10MDPI1C0001106-D-0;3123;02373,LNK,,LNK908-222445LF,P,,,15/08/2023 14:46:35,,FCT1,,,51.2904024,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02651,LNK,,LNK908-222445LF,P,,,15/08/2023 14:47:40,,FCT1,,,51.1043667,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02653,LNK,,LNK908-222445LF,P,,,15/08/2023 14:48:49,,FCT1,,,51.1338382,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02656,LNK,,LNK908-222445LF,P,,,15/08/2023 14:49:51,,FCT1,,,51.4036794,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02655,LNK,,LNK908-222445LF,P,,,15/08/2023 14:50:53,,FCT1,,,51.1370578,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02657,LNK,,LNK908-222445LF,P,,,15/08/2023 14:52:51,,FCT1,,,51.0890022,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02660,LNK,,LNK908-222445LF,P,,,15/08/2023 14:53:57,,FCT1,,,51.3249825,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02658,LNK,,LNK908-222445LF,P,,,15/08/2023 14:55:00,,FCT1,,,50.6149201,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02659,LNK,,LNK908-222445LF,P,,,15/08/2023 14:56:02,,FCT1,,,51.2231382,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02661,LNK,,LNK908-222445LF,P,,,15/08/2023 14:57:04,,FCT1,,,51.155357,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02662,LNK,,LNK908-222445LF,P,,,15/08/2023 14:58:09,,FCT1,,,51.156523,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02663,LNK,,LNK908-222445LF,P,,,15/08/2023 14:59:10,,FCT1,,,51.0361318,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02664,LNK,,LNK908-222445LF,P,,,15/08/2023 15:00:35,,FCT1,,,51.0971792,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02668,LNK,,LNK908-222445LF,P,,,15/08/2023 15:01:58,,FCT1,,,51.2014968,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02665,LNK,,LNK908-222445LF,P,,,15/08/2023 15:04:02,,FCT1,,,51.0636031,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02666,LNK,,LNK908-222445LF,P,,,15/08/2023 15:05:22,,FCT1,,,51.1074287,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02667,LNK,,LNK908-222445LF,P,,,15/08/2023 15:06:23,,FCT1,,,50.8926109,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02669,LNK,,LNK908-222445LF,P,,,15/08/2023 15:07:29,,FCT1,,,51.1052218,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02672,LNK,,LNK908-222445LF,P,,,15/08/2023 15:08:37,,FCT1,,,51.1313486,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02671,LNK,,LNK908-222445LF,P,,,15/08/2023 15:09:40,,FCT1,,,51.2789539,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02674,LNK,,LNK908-222445LF,P,,,15/08/2023 15:10:43,,FCT1,,,51.3056553,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02673,LNK,,LNK908-222445LF,P,,,15/08/2023 15:11:46,,FCT1,,,51.2105039,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02676,LNK,,LNK908-222445LF,P,,,15/08/2023 15:12:49,,FCT1,,,51.2161242,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02675,LNK,,LNK908-222445LF,P,,,15/08/2023 15:13:52,,FCT1,,,51.4398885,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02677,LNK,,LNK908-222445LF,P,,,15/08/2023 15:14:55,,FCT1,,,51.1797517,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02682,LNK,,LNK908-222445LF,P,,,15/08/2023 15:16:12,,FCT1,,,51.3080867,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02684,LNK,,LNK908-222445LF,P,,,15/08/2023 15:17:13,,FCT1,,,51.1035331,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02681,LNK,,LNK908-222445LF,P,,,15/08/2023 15:18:19,,FCT1,,,51.3081042,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02680,LNK,,LNK908-222445LF,P,,,15/08/2023 15:19:22,,FCT1,,,51.0291159,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02670,LNK,,LNK908-222445LF,P,,,15/08/2023 15:20:27,,FCT1,,,51.1507085,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02678,LNK,,LNK908-222445LF,P,,,15/08/2023 15:21:34,,FCT1,,,51.3754897,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02679,LNK,,LNK908-222445LF,P,,,15/08/2023 15:22:38,,FCT1,,,51.1009351,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02654,LNK,,LNK908-222445LF,P,,,15/08/2023 15:25:42,,FCT1,,,51.3179368,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02652,LNK,,LNK908-222445LF,P,,,15/08/2023 15:26:45,,FCT1,,,51.22527,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02650,LNK,,LNK908-222445LF,P,,,15/08/2023 15:27:48,,FCT1,,,51.1547021,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02375,LNK,,LNK908-222445LF,P,,,15/08/2023 15:29:48,,FCT1,,,51.0617449,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02371,LNK,,LNK908-222445LF,P,,,15/08/2023 15:30:49,,FCT1,,,51.366847,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02372,LNK,,LNK908-222445LF,P,,,15/08/2023 15:32:08,,FCT1,,,51.2061972,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02369,LNK,,LNK908-222445LF,P,,,15/08/2023 15:33:10,,FCT1,,,51.4535791,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02370,LNK,,LNK908-222445LF,P,,,15/08/2023 15:34:11,,FCT1,,,51.161276,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02367,LNK,,LNK908-222445LF,P,,,15/08/2023 15:35:16,,FCT1,,,51.2255761,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02368,LNK,,LNK908-222445LF,P,,,15/08/2023 15:36:23,,FCT1,,,51.0905379,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02365,LNK,,LNK908-222445LF,P,,,15/08/2023 15:37:33,,FCT1,,,51.3578717,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02366,LNK,,LNK908-222445LF,P,,,15/08/2023 15:39:44,,FCT1,,,117.8427702,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02363,LNK,,LNK908-222445LF,P,,,15/08/2023 15:40:52,,FCT1,,,57.4207958,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02364,LNK,,LNK908-222445LF,P,,,15/08/2023 15:42:07,,FCT1,,,51.3119224,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02361,LNK,,LNK908-222445LF,P,,,15/08/2023 15:43:15,,FCT1,,,51.0642822,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02362,LNK,,LNK908-222445LF,P,,,15/08/2023 15:44:27,,FCT1,,,51.4895808,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02360,LNK,,LNK908-222445LF,P,,,15/08/2023 15:45:40,,FCT1,,,52.2371569,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02359,LNK,,LNK908-222445LF,P,,,15/08/2023 15:46:43,,FCT1,,,51.2468597,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02357,LNK,,LNK908-222445LF,P,,,15/08/2023 15:47:47,,FCT1,,,51.2304676,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02358,LNK,,LNK908-222445LF,P,,,15/08/2023 15:48:55,,FCT1,,,51.1774937,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02356,LNK,,LNK908-222445LF,P,,,15/08/2023 15:50:02,,FCT1,,,51.0555776,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02355,LNK,,LNK908-222445LF,P,,,15/08/2023 15:51:10,,FCT1,,,51.2884068,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02353,LNK,,LNK908-222445LF,P,,,15/08/2023 15:52:16,,FCT1,,,51.2198604,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02354,LNK,,LNK908-222445LF,P,,,15/08/2023 15:53:20,,FCT1,,,51.2947319,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02351,LNK,,LNK908-222445LF,P,,,15/08/2023 15:54:28,,FCT1,,,51.3288206,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02352,LNK,,LNK908-222445LF,P,,,15/08/2023 15:55:40,,FCT1,,,51.5574697,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02349,LNK,,LNK908-222445LF,P,,,15/08/2023 15:56:48,,FCT1,,,51.1177967,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02347,LNK,,LNK908-222445LF,P,,,15/08/2023 15:57:55,,FCT1,,,51.0417559,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02350,LNK,,LNK908-222445LF,P,,,15/08/2023 15:59:00,,FCT1,,,51.2814968,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02348,LNK,,LNK908-222445LF,P,,,15/08/2023 16:00:10,,FCT1,,,51.3114591,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02346,LNK,,LNK908-222445LF,P,,,15/08/2023 16:01:18,,FCT1,,,51.2273146,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02345,LNK,,LNK908-222445LF,P,,,15/08/2023 16:02:34,,FCT1,,,51.7053194,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02407,LNK,,LNK908-222445LF,P,,,15/08/2023 16:03:36,,FCT1,,,51.179161,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02408,LNK,,LNK908-222445LF,P,,,15/08/2023 16:04:42,,FCT1,,,51.2227251,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02405,LNK,,LNK908-222445LF,P,,,15/08/2023 16:05:47,,FCT1,,,51.3544122,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02406,LNK,,LNK908-222445LF,P,,,15/08/2023 16:07:00,,FCT1,,,58.0639736,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02402,LNK,,LNK908-222445LF,P,,,15/08/2023 16:08:07,,FCT1,,,51.1016973,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02401,LNK,,LNK908-222445LF,P,,,15/08/2023 16:09:11,,FCT1,,,51.3667592,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02403,LNK,,LNK908-222445LF,P,,,15/08/2023 16:10:24,,FCT1,,,50.9262932,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02404,LNK,,LNK908-222445LF,P,,,15/08/2023 16:12:11,,FCT1,,,51.1843899,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02399,LNK,,LNK908-222445LF,P,,,15/08/2023 16:13:15,,FCT1,,,51.2040337,,81010,,
FCTLOG,10MDPI1C0001106-D-0;3123;02400,LNK,,LNK908-222445LF,P,,,15/08/2023 16:14:40,,FCT1,,,51.11887,,81010,,
